78837886	521	520,607
78837888	522	522,067
78837891	524	523,036
78837893	526	524,249
78837894	528	525,959
78837896	530	527,828
78837900	532	530,112
78837901	533	532,246
78837903	533	533,343
78837905	532	533,222
78837907	532	532,733
78837910	531	532,200
78837911	530	530,916
78837913	527	528,567
78837916	523	524,983
78837918	519	520,999
78837919	516	517,910
78837922	514	515,866
78837924	512	514,113
78837926	509	511,493
78837928	507	508,356
78837930	505	505,871
78837932	505	504,526
78837934	506	504,849
78837936	509	506,911
78837938	512	510,034
78837940	514	512,743
78837943	514	513,797
78837946	515	514,163
78837948	514	514,501
78837949	513	513,837
78837951	512	512,830
78837953	512	512,498
78837956	512	512,497
78837958	512	512,304
78837960	509	510,698
78837962	506	507,404
78837964	504	504,699
78837966	504	504,025
78837974	503	503,976
78837974	503	503,447
78837975	504	503,586
78837976	504	504,109
78837978	504	503,804
78837980	504	503,510
78837982	502	502,834
78837983	498	500,219
78837985	496	497,278
78837986	495	496,216
78837988	497	496,874
78837992	499	498,522
78837994	502	500,304
78837995	504	501,920
78837997	504	502,631
78837999	503	502,151
78838001	501	501,398
78838003	498	500,158
78838005	496	498,549
78838007	496	497,879
78838009	497	498,159
78838011	498	498,166
78838014	500	498,115
78838016	501	498,587
78838019	503	499,668
78838021	503	501,244
78838022	503	502,467
78838024	501	502,830
78838027	500	502,382
78838029	500	502,076
78838030	500	501,786
78838032	502	501,396
78838034	503	501,544
78838038	503	501,178
78838039	505	501,499
78838041	506	503,786
78838043	506	505,741
78838045	507	507,154
78838047	508	509,052
78838050	510	510,707
78838052	511	511,539
78838053	512	511,414
78838055	515	512,009
78838059	518	514,496
78838061	518	516,399
78838062	518	516,811
78838064	515	516,557
78838066	509	513,720
78838069	499	506,786
78838071	489	497,207
78838072	476	485,945
78838074	463	472,587
78838076	450	458,599
78838078	442	447,045
78838086	439	440,547
78838088	438	438,144
78838090	437	436,605
78838091	435	434,726
78838093	437	434,510
78838095	446	440,108
78838096	462	452,982
78838097	480	469,896
78838098	498	486,806
78838100	514	502,276
78838102	526	515,582
78838104	532	525,112
78838106	535	531,082
78838108	537	535,874
78838110	539	540,396
78838112	541	543,778
78838114	542	545,060
78838116	541	543,446
78838118	539	539,558
78838120	537	535,578
