77547189	509	510,308
77547192	504	508,214
77547193	498	502,771
77547195	493	496,884
77547197	490	492,659
77547199	487	489,310
77547201	486	486,494
77547203	492	487,662
77547205	508	497,492
77547209	533	516,940
77547210	563	543,148
77547212	598	573,812
77547215	637	609,226
77547217	679	649,182
77547218	719	690,802
77547221	751	728,564
77547223	770	756,552
77547225	773	770,746
77547226	762	770,219
77547228	742	757,937
77547232	719	738,829
77547234	693	715,503
77547236	664	687,284
77547238	629	653,045
77547240	589	612,990
77547241	548	570,615
77547243	514	532,731
77547245	486	503,269
77547248	464	480,152
77547250	447	461,053
77547252	435	445,524
77547254	427	433,238
77547257	421	423,578
77547258	417	416,279
77547261	416	412,631
77547262	415	412,464
77547264	416	414,200
77547266	419	418,039
77547268	424	423,591
77547271	430	429,280
77547273	436	434,129
77547276	442	438,101
77547278	446	441,337
77547279	449	443,922
77547281	451	446,779
77547283	452	450,028
77547285	454	453,512
77547287	459	458,433
77547290	464	464,120
77547292	469	468,241
77547294	471	469,862
77547295	472	469,461
77547299	473	469,279
77547300	474	470,765
77547302	475	473,260
77547304	475	475,653
77547307	475	477,088
77547309	476	477,970
77547311	478	478,891
77547313	481	479,919
77547315	482	480,367
77547317	484	480,439
77547319	485	481,634
77547321	485	483,256
77547323	485	484,656
77547325	485	486,276
77547327	485	487,373
77547329	486	487,753
77547331	487	487,785
77547333	487	486,907
77547335	489	486,214
77547337	489	486,702
77547340	489	487,092
77547341	489	487,892
77547344	489	489,463
77547346	488	490,238
77547349	486	489,231
77547351	484	486,815
77547352	482	483,918
77547354	481	481,310
77547357	481	479,890
77547359	483	480,434
77547360	486	483,040
77547362	488	486,190
77547364	488	487,874
77547368	488	488,277
77547369	489	489,082
77547371	490	490,366
77547373	489	490,331
77547376	488	488,717
77547378	487	487,197
77547380	486	486,157
77547382	487	486,003
77547384	486	486,402
77547386	486	486,069
77547388	487	486,390
77547391	486	486,871
77547393	486	486,189
77547394	486	485,956
77547396	488	486,955
77547398	489	488,440
77547400	489	488,956
77547402	490	489,038
77547405	489	489,255
77547407	488	488,449
77547409	489	488,267
77547410	491	490,081
77547414	493	492,261
77547415	496	494,364
77547417	499	497,017
77547419	500	498,970
77547421	499	498,897
77547423	499	498,336
77547425	498	498,475
77547428	500	499,366
77547430	500	500,736
77547431	501	501,206
77547433	501	501,100
77547437	501	500,808
77547441	503	501,205
77547442	504	502,812
77547443	506	504,423
77547445	508	506,448
77547447	510	508,815
77547448	511	510,503
77547450	511	511,121
77547452	512	511,492
77547454	511	511,738
77547457	513	512,030
77547460	517	514,660
77547462	519	517,986
77547464	520	519,069
77547465	522	519,927
77547468	525	522,512
77547469	528	525,882
77547471	532	529,511
77547474	535	533,272
77547475	537	535,996
77547478	540	538,242
77547480	541	540,416
77547482	541	541,017
77547484	541	540,764
77547486	540	540,520
77547489	539	539,708
77547490	540	539,571
77547492	543	541,542
77547494	545	544,112
77547496	546	545,263
77547499	547	545,727
77547500	546	545,899
77547503	544	544,785
77547505	541	542,748
77547508	536	539,612
77547510	531	535,064
77547512	528	531,015
77547514	525	527,997
77547515	524	525,283
77547517	523	523,333
77547519	522	521,722
77547522	519	519,442
77547523	516	516,644
77547531	513	514,349
77547531	511	512,890
77547532	510	512,049
77547534	511	512,042
77547535	510	511,681
77547537	510	510,047
77547538	511	509,254
77547540	511	509,555
77547542	511	509,596
77547545	513	510,899
77547547	513	513,139
77547549	511	513,158
77547551	508	510,859
77547554	507	508,753
77547555	506	507,573
77547557	506	506,458
77547590	507	505,940
77547592	509	506,793
77547594	509	507,725
77547595	509	507,845
77547596	511	509,133
77547598	514	512,554
77547611	516	515,828
77547611	519	518,150
77547612	521	520,262
77547613	522	521,351
77547615	522	521,235
77547616	521	520,624
77547618	521	520,297
77547636	522	521,290
77547637	522	522,576
77547638	522	522,797
77547640	521	522,199
77547642	520	520,972
77547644	520	519,960
77547646	520	519,743
77547648	519	519,223
77547692	518	518,130
77547693	516	516,900
77547695	516	516,122
77547696	516	516,413
77547698	517	517,070
77547699	518	517,737
77547701	519	518,389
77547703	520	518,940
77547704	520	519,319
77547706	519	518,983
77547707	517	517,872
77547709	515	516,416
77547711	513	514,937
77547713	511	513,235
77547715	511	511,896
77547717	512	511,850
77547719	513	512,278
77547720	513	512,119
77547722	512	511,328
77547723	512	510,927
77547725	512	511,658
77547726	512	512,563
77547758	513	513,406
77547761	514	514,476
77547762	514	514,698
77547764	514	513,898
77547765	514	513,244
77547766	514	513,071
77547767	513	512,817
77547768	512	512,283
77547770	511	511,868
77547771	511	511,849
77547773	511	512,007
77547775	511	511,754
77547776	511	511,092
77547777	511	510,487
77547779	512	510,536
77547781	513	511,550
77547782	513	512,504
77547783	513	512,889
77547784	512	512,930
77547786	511	512,334
77547788	510	511,354
77547790	510	510,625
77547792	510	510,231
77547793	511	510,184
77547795	511	510,337
77547797	510	509,829
77547798	509	508,899
77547800	509	508,827
77547801	509	509,481
77547803	509	509,837
77547804	509	509,719
77547806	509	509,384
77547808	511	509,720
77547810	514	511,712
77547855	516	514,112
77547857	516	515,088
77547859	515	514,771
77547860	515	514,745
77547862	514	515,163
77547863	515	515,539
77547864	515	516,060
77547866	515	515,769
77547867	514	514,467
77547869	514	513,308
77547871	514	513,034
77547873	513	512,869
77547875	514	513,023
77547876	514	514,154
77547877	514	514,724
77547879	515	515,028
77547880	515	515,527
77547882	515	515,177
77547883	516	515,020
77547885	516	515,462
77547887	516	515,466
77547888	516	515,527
77547890	516	515,971
77547892	516	516,326
77547894	516	516,506
77547896	517	516,891
77547898	517	517,271
77547900	517	516,957
77547902	517	516,553
77547903	516	516,143
77547905	515	515,268
77547907	514	514,513
77547909	514	514,338
77547910	514	514,548
77547912	516	515,330
77547913	518	516,976
77547915	518	517,798
77547917	518	517,239
77547919	516	516,304
77547920	515	515,220
77547921	515	515,149
77547923	516	516,285
77547924	516	517,001
77547926	517	517,002
77547927	518	517,311
77547929	518	517,440
77547930	519	517,419
77547932	520	518,467
77547934	520	519,634
77547936	519	519,702
77547938	518	519,157
77547939	516	518,106
77547940	515	516,539
77547942	515	515,563
